City ID,City,Latitude,Temperature (F),Humidity,Cloud Coverage,Wind Speed (mph)
0,Bluff,-23.58,78.7,24,0,11.99
1,Ambanja,-13.68,76.63,49,0,3.04
2,Takoradi,4.89,74.47,98,92,7.96
3,Lebu,8.96,59,87,75,6.93
4,East London,-33.02,57.2,67,0,12.75
5,Geraldton,49.72,60.8,100,90,8.05
6,Punta Arenas,-53.16,35.6,93,75,4.7
7,Rikitea,-23.12,71.41,100,80,11.1
8,Upernavik,72.79,39.19,98,88,15.57
9,Butaritari,3.07,84.37,100,76,9.64
10,Taoudenni,22.68,79.6,21,0,8.52
11,Sao Filipe,14.9,77.8,100,0,7.4
12,Jamestown,-33.21,61.33,42,20,10.2
13,Kapaa,22.08,79.56,90,90,20.8
14,Hermanus,-34.42,43.33,99,88,9.75
15,Cape Town,-33.93,46.4,70,20,5.82
16,Scarborough,54.28,47.61,100,80,2.24
17,Atuona,-9.8,78.16,100,48,19.82
18,Ushuaia,-54.81,33.8,80,0,6.93
19,Waipawa,-39.94,51.43,70,0,5.39
20,Mataura,-46.19,52.24,68,20,16.46
21,Northam,51.04,55.4,82,75,10.29
22,New Norfolk,-42.78,48.2,66,75,13.87
23,Saldanha,41.42,49.63,90,0,3.94
24,Carnarvon,-30.97,39.91,85,80,15.12
25,Dhone,15.4,86.53,53,88,18.59
26,Namatanai,-3.66,83.83,98,44,4.38
27,San Patricio,-26.98,42.07,64,0,4.5
28,Alice Springs,-23.7,75.2,11,0,9.17
29,Port Alfred,-33.59,61.33,86,0,21.05
30,Kloulklubed,7.04,81.58,100,8,3.71
31,Axim,4.87,75.19,100,92,10.98
32,Maracaibo,3.41,71.6,83,20,4.7
33,Waddan,29.16,79.69,56,0,13.22
34,Honningsvag,70.98,52.69,95,32,3.38
35,Albany,42.65,61.18,75,40,6.93
36,Arroio Grande,-32.24,45.31,100,44,18.59
37,Dikson,73.51,44.86,100,56,13.11
38,Bubaque,11.28,81.04,100,68,18.7
39,Avarua,-21.21,69.8,88,90,2.24
40,Kununurra,-15.77,93.2,9,0,8.05
41,Bredasdorp,-34.53,42.8,81,92,23.04
42,Victoria,5.28,90.37,63,75,3.36
43,Sept-Iles,50.2,59,93,75,3.36
44,Kodiak,39.95,77,90,40,3.36
45,Zhezkazgan,47.8,59,72,90,13.42
46,Byron Bay,-28.65,64.4,82,90,6.93
47,Trapani,38.02,78.17,78,75,14.99
48,Beringovskiy,63.05,49.18,100,100,6.06
49,Sitka,37.17,76.54,64,56,6.62
50,Wajima,37.4,82.4,74,75,18.34
51,Svetlogorsk,53.14,64.4,59,75,20.13
52,Cap Malheureux,-19.98,77,57,20,14.99
53,Maiduguri,11.84,71.5,94,8,5.95
54,Norman Wells,65.28,50,93,75,6.93
55,Vaitape,-16.52,79.33,100,8,6.06
56,Nanortalik,60.14,40,100,92,18.25
57,Chuy,-33.69,40.63,96,0,12.77
58,Hargeysa,9.56,69.8,64,0,23.04
59,Punto Fijo,11.69,81.67,75,0,15.57
60,Codrington,-28.95,58,97,92,3.49
61,Busselton,-33.64,60.34,100,20,2.37
62,Tasiilaq,65.61,41.53,100,92,4.38
63,Salinas,36.67,57.06,86,90,6.93
64,Solnechnyy,50.72,73.03,65,92,5.61
65,Vila Franca Do Campo,37.72,69.8,77,40,3.36
66,Ribeira Grande,38.52,72.13,100,0,6.51
67,Bethel,60.79,53.96,96,90,10.29
68,Tiksi,71.64,55.75,83,0,3.71
69,Leningradskiy,69.38,35.77,100,88,8.41
70,Gornopravdinsk,60.06,62.5,77,64,8.75
71,Neumunster,54.07,52.39,87,20,9.17
72,Joniskis,56.24,57.2,93,75,8.05
73,La Ferte-Bernard,48.19,46.33,81,0,1.12
74,Dunedin,-45.87,47.38,78,0,1.59
75,Boguchany,58.38,73.93,63,8,3.94
76,Ponta Do Sol,-20.63,60.07,96,56,2.93
77,Tezu,27.93,75.01,86,80,1.59
78,Hilo,19.71,65.46,100,90,6.93
79,Camabatela,-8.19,65.65,99,92,3.6
80,Comonfort,20.72,56.74,71,0,5.06
81,Yagodnoye,62.52,46.75,63,44,2.93
82,Dingle,11,86.53,67,12,9.08
83,Sorland,67.67,52.51,100,44,25.64
84,Ayagoz,47.96,72.67,27,0,7.74
85,Katsuura,33.93,89.6,62,40,9.17
86,Qaanaaq,77.48,31.81,100,0,14.23
87,Ca Mau,9.18,86.26,82,64,10.2
88,Mugur-Aksy,50.38,61.33,38,12,2.15
89,Lucapa,-8.42,67.27,93,0,2.48
90,Iqaluit,63.75,41,75,20,4.7
91,Champerico,16.38,67.18,94,68,2.37
92,Cachoeira Do Sul,-30.05,36.94,82,0,7.96
93,Antofagasta,-23.65,57.2,71,90,13.87
94,Wiang Sa,8.64,91.47,66,20,12.75
95,Mitsamiouli,-11.38,78.8,65,20,11.41
96,Campbell River,50.02,57.2,93,75,1.03
97,Benguela,-12.58,66.2,93,75,4.7
98,Buin,-33.73,44.6,81,0,1.12
99,Inhambane,-23.87,73.4,83,0,10.42
100,Linjiang,41.81,68.8,74,0,6.73
101,Vao,59.1,58.99,92,68,3.71
102,Pokrovo-Prigorodnoye,52.68,74.65,42,0,4.61
103,Sobral,-3.69,75.19,84,0,7.63
104,Lukovetskiy,64.29,64.4,77,20,8.95
105,Vaini,15.34,70.6,100,92,7.4
106,Mago,53.27,67.54,63,12,6.06
107,Waingapu,-9.65,83.83,58,48,6.4
108,Lorengau,-2.02,82.66,100,68,4.94
109,Marquette,46.54,58.28,95,90,7.52
110,Faanui,-16.48,78.79,100,0,7.07
111,Georgetown,6.8,75.2,100,0,2.24
112,Nagaur,27.2,86.53,78,8,8.52
113,Clovis,36.83,75.61,42,1,10.29
